id,nombre,autor,precio,ideditorial
15,Bluebill,Meghann,148.000000,4
23,Shore Quillwort,Bernie,390.000000,4
50,Horsetail Paspalum,Kettie,729.000000,4
51,Daffodil,Garvey,1348.000000,4
64,Hog Plum,Shanan,303.000000,4
81,Chia,Sammy,1139.000000,4
99,Mediterranean Brome,Granger,442.000000,4
103,Fragrant Woodfern,Leighton,1085.000000,4
118,Straight Bladderpod,Ame,1128.000000,4
119,Oregon White Oak,Buddie,1197.000000,4
124,Western Bog Aster,Tynan,1429.000000,4
151,Recurved Brotherella Moss,Kipp,369.000000,4
164,Corpus Christi Fleabane,Tracee,371.000000,4
173,Softseed Wild Petunia,Pamela,653.000000,4
176,Frightful Sedge,Alessandro,1309.000000,4
196,Common Buttonbush,Delbert,338.000000,4
199,Manchurian Honeysuckle,Jesselyn,770.000000,4
204,Hybrid Willow,Wilona,585.000000,4
208,Cloudforest Magnolia,Renee,348.000000,4
215,Dwarf Butterfly Orchid,Lindsay,1212.000000,4
226,Puffcalyx Gilia,Shayne,1462.000000,4
232,Chicory,Haleigh,746.000000,4
247,Oregon Checkerbloom,Jammal,395.000000,4
