id,nombre,autor,precio,ideditorial
1,Lilyturf,Lenci,680,5
2,Kauai Schiedea,Sayre,1105,6
3,Dwarf False Pennyroyal,Ingra,23,5
4,Maid Marian,Dietrich,491,6
5,Spreading Amaranth,Saleem,1097,5
6,Torrey's Sedge,Orelie,801,5
7,Oriental False Wheatgrass,Hadley,285,3
8,Italian Toadflax,Marcus,677,1
9,Holmes' Hawthorn,Allys,470,3
10,Hutchins' Ulota Moss,Albrecht,174,5
11,Lancepod Draba,Dedra,864,2
12,Kohala False Ohelo,Jessi,694,1
13,Goldenbush,Monroe,184,2
14,Black Sapote,Durand,268,2
15,Bluebill,Meghann,148,4
16,Bald Brome,Templeton,656,3
17,Indian Rosewood,Sansone,691,1
18,Hedge Cactus,Farlie,980,5
19,Roughpod Bladderpod,Caz,1456,3
20,Oblong Bluecurls,Lion,284,5
21,Klamath Coneflower,Nigel,609,3
22,Desertrue,Leela,1180,3
23,Shore Quillwort,Bernie,390,4
24,Cowparsnip,Andie,1040,3
25,Corkscrew Beggarticks,Don,1184,3
26,Chickasaw Plum,Elenore,869,2
27,Fremont's Evening Primrose,Maurita,384,3
28,Thermutis Lichen,Frazer,322,1
29,Bell-fruit Mallee,Miltie,1248,6
30,Prairie Dropseed,Aili,101,6
31,Prairie Beeblossom,Crosby,338,1
32,American Fiveminute Grass,Nesta,1400,3
33,Congea,Godfrey,1153,6
34,Mountain Hemlock,Peta,669,2
35,Seashore False Bindweed,Candide,845,6
36,Oblongleaf Bluebells,Celestyn,1442,5
37,Panicum,Gizela,50,5
38,San Clemente Island Indian Paintbrush,Phillipp,867,3
39,Rothrock's Hedgenettle,Enrika,807,1
40,Railhead Milkvetch,Elsey,1029,2
41,Gray's Seablush,Tierney,1021,1
42,Navassa Nakedstem Carpetweed,Doro,293,1
43,Felt Lichen,Jobi,1153,1
44,Spreading Wheatgrass,Saundra,1202,5
45,Bluedome Primrose,Kendrick,49,3
46,Mayleaf Four O'clock,Sandy,512,3
47,Fescue,Pascale,248,6
48,Coville's Groundsmoke,Alvie,325,6
49,Boxthorn Fiddlewood,Stern,492,5
50,Horsetail Paspalum,Kettie,729,4
51,Daffodil,Garvey,1348,4
52,Himalayan Mayapple,Ric,38,3
53,Sweet-nancy,Marrissa,12,6
54,Fiddleleaf Hawksbeard,Neila,1446,6
55,Biennial Wormwood,Bald,266,1
56,Idaho Bladderpod,Maggie,1082,6
57,Western Dwarfdandelion,Kai,786,2
58,California Antitrichia Moss,Maddalena,637,5
59,Houghton's Flatsedge,Vita,448,1
60,Richardson's Masonhalea Lichen,Vasily,246,2
61,St. Johnswort,Darsey,956,3
62,Engelmann's Sage,Olag,7,5
63,Clokey's Greasebush,Jaine,834,6
64,Hog Plum,Shanan,303,4
65,Bristly Fiddleneck,Frayda,1207,1
66,Eggyolk Lichen,Joelynn,756,6
67,Catinaria Lichen,Bel,168,5
68,Virola,Vinny,458,6
69,Hardham's Evening Primrose,Dallis,266,6
70,Slender Bunchflower,Lana,1158,6
71,Redwood Insideout Flower,Gerianne,724,1
72,Bouncingbet,Jordanna,1181,6
73,Pore Lichen,Ferguson,452,2
74,Yellowtuft,Lorine,842,5
75,Sky Lupine,Ebonee,36,5
76,Thurber's Sandpaper Plant,Talbert,248,1
77,Arcuate Barley,Fulton,1452,6
78,Gum,Templeton,370,5
79,Hoover's Manzanita,Luciana,995,5
80,Cooke's Map Lichen,Corny,1334,2
81,Chia,Sammy,1139,4
82,Wilf's Sphagnum,Shawn,1100,5
83,Threelobe Buttercup,Aurie,985,3
84,Japanese Violet,Yasmin,76,6
85,Tylothallia Lichen,Yetty,405,6
86,Santesson's Tricharia Lichen,Baxie,120,5
87,Tiger's Claw,Jessy,755,3
88,Kauai Labordia,Zelig,854,5
89,Marsh's Bluegrass,Ravi,1042,6
90,Alani Wai,Jocelin,21,5
91,Tall Ladies'-tresses,Leona,683,2
92,Clokey's Milkvetch,Borg,533,5
93,White Mallow,Cornell,877,2
94,Saltgrass,Alfy,58,1
95,Rose's Orange Lichen,Aggy,934,2
96,Puerto Rico Water-willow,Arch,948,3
97,Asahina's Cracked Lichen,Brady,752,2
98,New England Sedge,Jackelyn,1106,1
99,Mediterranean Brome,Granger,442,4
100,Hawthorn,Reg,1386,5
101,Natal Crabgrass,Kristal,651,2
102,Lo'ulu Lelo,Jo ann,316,1
103,Fragrant Woodfern,Leighton,1085,4
104,Utah Agave,Janenna,278,3
105,Hairystem Dwarf Rush,Mallory,1174,5
106,American Alumroot,Greg,412,2
107,Pequi,Ashly,517,3
108,Alaskan Mountain-avens,Howie,579,1
109,Rose Of Plymouth,Kacey,941,1
110,Forest Dubautia,Arthur,452,5
111,Kaffir Potato,Kristopher,201,5
112,Fivetooth Spineflower,Valentijn,375,2
113,Rimularia Lichen,Kurtis,975,2
114,Saucer-plant,Morgan,1289,2
115,California Cottonrose,Ezmeralda,1000,2
116,Nuttall's Oxytrope,Aeriell,1036,3
117,Packard's Desertparsley,Ray,1358,6
118,Straight Bladderpod,Ame,1128,4
119,Oregon White Oak,Buddie,1197,4
120,Hawai'i Pricklyash,Arel,543,3
121,Bluehead Gilia,Eryn,143,2
122,Buffaloberry,Graeme,724,3
123,Fremont's Chaffbush,Whitman,1257,1
124,Western Bog Aster,Tynan,1429,4
125,Blue Ridge Wakerobin,Stephenie,1079,5
126,Licorice Fern,Lorant,1112,3
127,Ladyfinger Cactus,Merrilee,459,3
128,Yellow Pepperweed,Regine,1129,2
129,San Miguel Island Bedstraw,Edgard,651,6
130,Eastwood's Baby Blue Eyes,Jolie,1281,5
131,Manyflower Tobacco,Stan,1148,1
132,South African Oatgrass,Glad,694,1
133,Sawtooth Oak,Chrystal,633,1
134,Oneflower Helianthella,Sheila-kathryn,1058,6
135,James' Galleta,Joell,7,5
136,Rayless Goldenhead,Coreen,523,3
137,San Bernardino Vervain,Ernestine,680,5
138,Thinstem Lady's Mantle,Lissy,1080,2
139,Ballhead Ipomopsis,Chase,787,1
140,Raintree,Maynard,936,2
141,Purging Croton,Keene,1386,2
142,Thelomma Lichen,Pennie,1405,2
143,Arizona Spikemoss,Freedman,1428,5
144,Fringed Gentian,Yoshi,343,3
145,Sharpleaf Snowberry,Hewett,726,1
146,Macrotyloma,Jamie,851,1
147,Shrubby Fuchsia,Henrietta,1374,5
148,Showy Dandelion,Karoly,922,5
149,Big Sagebrush,Lacie,856,2
150,Osmund Fissidens Moss,Anstice,1043,1
151,Recurved Brotherella Moss,Kipp,369,4
152,Dwarf Heliotrope,Lewiss,898,6
153,Rough Lipfern,Ardella,45,2
154,Alpine Spicywintergreen,Torr,186,2
155,Grass Pea,Guillema,1125,5
156,Springtime Dewberry,Pernell,785,1
157,Plateau Rocktrumpet,Regine,1290,2
158,Oregon Figwort,Caryl,308,5
159,Stebbins' Desertdandelion,Nerita,503,1
160,Jeruselem Thorn,Lacee,884,6
161,Tecate Cypress,Laryssa,479,3
162,Sapota,Nathan,1079,2
163,Poison Canyon Stickseed,Gustaf,596,6
164,Corpus Christi Fleabane,Tracee,371,4
165,Sanddune Phacelia,Buffy,393,5
166,Cliff Goldenbush,Izabel,499,5
167,Rough Bedstraw,Olin,124,2
168,Manzanilla Trepador,Jarvis,344,5
169,Crossidium Moss,Cad,1473,1
170,Alkali Sunflower,Cahra,1428,6
171,Pseudoleskeella Moss,Roxana,854,3
172,Soft Feather Pappusgrass,Cybil,559,3
173,Softseed Wild Petunia,Pamela,653,4
174,Turgid Aulacomnium Moss,Marv,720,3
175,Whitney's Clarkia,Terencio,561,2
176,Frightful Sedge,Alessandro,1309,4
177,Protea,Laetitia,169,2
178,Schaefferia,Brigg,606,6
179,Sessileleaf Stopper,Nanice,1266,3
180,Embelia,Nat,872,1
181,Carolina Arrowwood,Alexis,1377,2
182,Caloncoba,Olia,968,6
183,Mountain Graygum,Linn,161,6
184,Trailing Fenugreek,Wilhelm,599,1
185,Lemmon's Cinquefoil,Bald,626,1
186,Hairy Clustervine,Laney,81,1
187,Himalayan Berry,Nonah,57,6
188,Elliott's Sedge,Vicki,1060,1
189,Alpine Sweetgrass,Roddy,1298,5
190,Bur Chervil,Alika,123,1
191,Plateau Rocktrumpet,Caralie,801,5
192,Berlandier's Jopoy,Corbin,1143,1
193,Stiff Cowbane,Joli,1143,6
194,Torrey's Pea,Henrietta,1133,6
195,Panamint Liveforever,Maurine,863,5
196,Common Buttonbush,Delbert,338,4
197,Pamoho,Malcolm,1286,5
198,Island Speedwell,Rhodie,1226,2
199,Manchurian Honeysuckle,Jesselyn,770,4
200,Winged Pea,Cymbre,825,5
201,Cyrtandra,Mitzi,1366,3
202,Downy Lobelia,Deina,1238,1
203,Nodding Clover,Loren,241,2
204,Hybrid Willow,Wilona,585,4
205,Turtlefat,Mab,501,5
206,Water Soldiers,Kerby,1464,1
207,Bigelow's Leather Flower,Manfred,157,3
208,Cloudforest Magnolia,Renee,348,4
209,Broadleaf Spurge,Diego,24,6
210,Tracy's Collomia,Garald,1260,3
211,Distichium Moss,Gustave,1117,1
212,Contura Creek Sandmat,Winnah,862,5
213,Slender Threeseed Mercury,Karly,1308,6
214,Lecidea Lichen,Lorrayne,514,2
215,Dwarf Butterfly Orchid,Lindsay,1212,4
216,Megaspora Lichen,Fowler,1397,2
217,Greenhorn Fritillary,Hussein,1007,2
218,Spreading Moonpod,Cicily,925,2
219,Poison Hemlock,Marchelle,1157,5
220,Labrador Lousewort,Dall,512,6
221,Lodgepole Lupine,Kippie,124,2
222,Orange Hawkweed,Cristine,317,5
223,Jelly Lichen,Kimberli,213,2
224,Cachimbo De Gato,Bartholomew,84,5
225,Christmasbush,Andonis,157,3
226,Puffcalyx Gilia,Shayne,1462,4
227,Big-flower Broom,Berty,51,2
228,Bigelow's Bristlehead,Miltie,119,3
229,Panaluu Mountain Rollandia,Cob,263,6
230,Plateau Catchfly,Giovanni,984,5
231,Indian Rattlebox,Doralynn,144,3
232,Chicory,Haleigh,746,4
233,Pineland False Sunflower,Woodman,484,5
234,Commerson's Nightshade,Byran,1465,1
235,St. Andrew's Cross,Virgie,666,2
236,Hoary Hawthorn,Gill,1199,5
237,Malaysian Apple,Daune,1277,3
238,Wildrye,John,1067,1
239,Coastal Cosmopolitan Bulrush,Brett,959,5
240,Purpleflower Pinkroot,Arri,1438,3
241,Dunbar's Hawthorn,Byram,503,3
242,Valley Lupine,Belicia,1123,1
243,Hinahina,Ernesto,362,6
244,Candleholder Liveforever,Orel,640,6
245,Rock Buckthorn,Jeralee,1497,5
246,Rio Grande Mock Vervain,Bram,1074,2
247,Oregon Checkerbloom,Jammal,395,4
248,Spiny Amaranth,Hildy,228,6
249,Stickystem Pearlwort,Oliver,1221,1
250,Parish's Threeawn,Susannah,248,1
